,Brand,Variant ID,Variant,Price,Availability,SKU,Brand + Variant ID
23,Heba Linens,45704144355619,stone-towel-set-3pcs,1995.0,False,672b9783ab949,Heba Linens #45704144355619
24,Heba Linens,46971939029283,catina-duvet-set,7995.0,True,672b94599c9ab,Heba Linens #46971939029283
25,Heba Linens,46971939127587,catina-duvet-set,7995.0,False,672b945a57afe,Heba Linens #46971939127587
26,Heba Linens,46971874017571,croisee-sheet-set,6495.0,True,672b958a6da2a,Heba Linens #46971874017571
27,Heba Linens,47005579870499,croisee-sheet-set,6495.0,True,672b958b35baf,Heba Linens #47005579870499
28,Heba Linens,46336763724067,calligraphy-sheet-set,11495.0,False,672b9454d28d8,Heba Linens #46336763724067
29,Heba Linens,53340132475171,calligraphy-kaftan,5995.0,True,672b959649f5a,Heba Linens #53340132475171
30,Heba Linens,46344833761571,table-cloth-cherry,16295.0,False,672b945be09d6,Heba Linens #46344833761571
31,Heba Linens,46344833794339,table-cloth-cherry,16295.0,True,672b945b1cd25,Heba Linens #46344833794339
32,Heba Linens,46344833827107,table-cloth-cherry,19495.0,True,672b945d58e02,Heba Linens #46344833827107
33,Heba Linens,46344833859875,table-cloth-cherry,19495.0,True,672b945ca81af,Heba Linens #46344833859875
34,Heba Linens,46635648418083,calligraphy-towel-set,2195.0,False,672b9457c9bbf,Heba Linens #46635648418083
35,Heba Linens,46971842167075,croisee-duvet-set,8495.0,True,672b958923c75,Heba Linens #46971842167075
36,Heba Linens,47005582819619,croisee-duvet-set,8495.0,True,672b9589ef7af,Heba Linens #47005582819619
37,Heba Linens,46971998798115,catina-bath-mat-set,3995.0,False,672b94598cf7b,Heba Linens #46971998798115
38,Heba Linens,46971998896419,catina-bath-mat-set,3995.0,False,672b945a409ed,Heba Linens #46971998896419
39,Heba Linens,46971974746403,catina-sheet-set,6295.0,True,672b945aeb17e,Heba Linens #46971974746403
40,Heba Linens,46971974811939,catina-sheet-set,6295.0,True,672b945ba9bdf,Heba Linens #46971974811939
41,Heba Linens,47067711897891,croisse-guest-towel-set,495.0,True,672b958d77fde,Heba Linens #47067711897891
42,Heba Linens,47067711930659,croisse-guest-towel-set,495.0,False,672b958e3d5a7,Heba Linens #47067711930659
43,Heba Linens,46867856458019,croisse-towel-set,2195.0,True,672b959075460,Heba Linens #46867856458019
44,Heba Linens,46867856687395,croisse-towel-set,2195.0,True,672b95914201d,Heba Linens #46867856687395
45,Heba Linens,47068001403171,effect-bath-robe,3245.0,False,672b959a18e11,Heba Linens #47068001403171
